CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;16/07/2021;3;0.06;R
ES0031300000000001EX;16/07/2021;4;0.055;R
ES0031300000000001EX;16/07/2021;5;0.057;R
ES0031300000000001EX;16/07/2021;6;0.06;R
ES0031300000000001EX;16/07/2021;7;0.059;R
ES0031300000000001EX;16/07/2021;8;0.059;R
ES0031300000000001EX;16/07/2021;9;0.167;R
ES0031300000000001EX;16/07/2021;10;0.191;R
ES0031300000000001EX;16/07/2021;11;0.095;R
ES0031300000000001EX;16/07/2021;12;0.085;R
ES0031300000000001EX;16/07/2021;13;0.062;R
ES0031300000000001EX;16/07/2021;14;0.059;R
ES0031300000000001EX;16/07/2021;15;0.059;R
ES0031300000000001EX;16/07/2021;16;0.212;R
ES0031300000000001EX;16/07/2021;17;0.147;R
ES0031300000000001EX;16/07/2021;18;0.079;R
ES0031300000000001EX;16/07/2021;19;0.142;R
ES0031300000000001EX;16/07/2021;20;0.117;R
ES0031300000000001EX;16/07/2021;21;0.088;R
ES0031300000000001EX;16/07/2021;22;0.191;R
ES0031300000000001EX;16/07/2021;23;0.407;R
ES0031300000000001EX;16/07/2021;24;0.225;R
ES0031300000000001EX;17/07/2021;1;0.071;R
ES0031300000000001EX;17/07/2021;2;0.057;R
ES0031300000000001EX;17/07/2021;3;0.058;R
ES0031300000000001EX;17/07/2021;4;0.053;R
ES0031300000000001EX;17/07/2021;5;0.054;R
ES0031300000000001EX;17/07/2021;6;0.059;R
ES0031300000000001EX;17/07/2021;7;0.059;R
ES0031300000000001EX;17/07/2021;8;0.112;R
ES0031300000000001EX;17/07/2021;9;0.073;R
ES0031300000000001EX;17/07/2021;10;0.18;R
ES0031300000000001EX;17/07/2021;11;0.553;R
ES0031300000000001EX;17/07/2021;12;0.193;R
ES0031300000000001EX;17/07/2021;13;0.127;R
ES0031300000000001EX;17/07/2021;14;0.055;R
ES0031300000000001EX;17/07/2021;15;0.099;R
ES0031300000000001EX;17/07/2021;16;0.21;R
ES0031300000000001EX;17/07/2021;17;0.221;R
ES0031300000000001EX;17/07/2021;18;0.202;R
ES0031300000000001EX;17/07/2021;19;0.194;R
ES0031300000000001EX;17/07/2021;20;0.196;R
ES0031300000000001EX;17/07/2021;21;0.194;R
ES0031300000000001EX;17/07/2021;22;0.272;R
ES0031300000000001EX;17/07/2021;23;0.277;R
ES0031300000000001EX;17/07/2021;24;0.251;R
ES0031300000000001EX;18/07/2021;1;0.181;R
ES0031300000000001EX;18/07/2021;2;0.081;R
ES0031300000000001EX;18/07/2021;3;0.061;R
ES0031300000000001EX;18/07/2021;4;0.057;R
ES0031300000000001EX;18/07/2021;5;0.057;R
ES0031300000000001EX;18/07/2021;6;0.061;R
ES0031300000000001EX;18/07/2021;7;0.059;R
ES0031300000000001EX;18/07/2021;8;0.059;R
ES0031300000000001EX;18/07/2021;9;0.057;R
ES0031300000000001EX;18/07/2021;10;0.111;R
ES0031300000000001EX;18/07/2021;11;0.238;R
ES0031300000000001EX;18/07/2021;12;0.181;R
ES0031300000000001EX;18/07/2021;13;0.082;R
ES0031300000000001EX;18/07/2021;14;0.115;R
ES0031300000000001EX;18/07/2021;15;0.065;R
ES0031300000000001EX;18/07/2021;16;0.058;R
ES0031300000000001EX;18/07/2021;17;0.057;R
ES0031300000000001EX;18/07/2021;18;0.052;R
ES0031300000000001EX;18/07/2021;19;0.053;R
ES0031300000000001EX;18/07/2021;20;0.054;R
ES0031300000000001EX;18/07/2021;21;0.066;R
ES0031300000000001EX;18/07/2021;22;0.065;R
ES0031300000000001EX;18/07/2021;23;0.157;R
ES0031300000000001EX;18/07/2021;24;0.537;R
ES0031300000000001EX;19/07/2021;1;0.135;R
ES0031300000000001EX;19/07/2021;2;0.076;R
ES0031300000000001EX;19/07/2021;3;0.067;R
ES0031300000000001EX;19/07/2021;4;0.064;R
ES0031300000000001EX;19/07/2021;5;0.117;R
ES0031300000000001EX;19/07/2021;6;0.081;R
ES0031300000000001EX;19/07/2021;7;0.065;R
ES0031300000000001EX;19/07/2021;8;0.061;R
ES0031300000000001EX;19/07/2021;9;0.078;R
ES0031300000000001EX;19/07/2021;10;0.2;R
ES0031300000000001EX;19/07/2021;11;0.141;R
ES0031300000000001EX;19/07/2021;12;0.102;R
ES0031300000000001EX;19/07/2021;13;0.086;R
ES0031300000000001EX;19/07/2021;14;0.093;R
ES0031300000000001EX;19/07/2021;15;0.291;R
ES0031300000000001EX;19/07/2021;16;0.207;R
ES0031300000000001EX;19/07/2021;17;0.12;R
ES0031300000000001EX;19/07/2021;18;0.103;R
ES0031300000000001EX;19/07/2021;19;0.101;R
ES0031300000000001EX;19/07/2021;20;0.096;R
ES0031300000000001EX;19/07/2021;21;0.089;R
ES0031300000000001EX;19/07/2021;22;0.196;R
ES0031300000000001EX;19/07/2021;23;0.239;R
ES0031300000000001EX;19/07/2021;24;0.239;R
ES0031300000000001EX;20/07/2021;1;0.095;R
ES0031300000000001EX;20/07/2021;2;0.085;R
ES0031300000000001EX;20/07/2021;3;0.074;R
ES0031300000000001EX;20/07/2021;4;0.071;R
ES0031300000000001EX;20/07/2021;5;0.066;R
ES0031300000000001EX;20/07/2021;6;0.072;R
ES0031300000000001EX;20/07/2021;7;0.074;R
ES0031300000000001EX;20/07/2021;8;0.112;R
ES0031300000000001EX;20/07/2021;9;0.188;R
ES0031300000000001EX;20/07/2021;10;0.233;R
ES0031300000000001EX;20/07/2021;11;0.092;R
ES0031300000000001EX;20/07/2021;12;0.097;R
ES0031300000000001EX;20/07/2021;13;0.077;R
ES0031300000000001EX;20/07/2021;14;0.084;R
ES0031300000000001EX;20/07/2021;15;1.415;R
ES0031300000000001EX;20/07/2021;16;0.723;R
ES0031300000000001EX;20/07/2021;17;0.189;R
ES0031300000000001EX;20/07/2021;18;0.102;R
ES0031300000000001EX;20/07/2021;19;0.158;R
ES0031300000000001EX;20/07/2021;20;0.243;R
ES0031300000000001EX;20/07/2021;21;0.185;R
ES0031300000000001EX;20/07/2021;22;0.127;R
ES0031300000000001EX;20/07/2021;23;0.22;R
ES0031300000000001EX;20/07/2021;24;0.238;R
ES0031300000000001EX;21/07/2021;1;0.085;R
ES0031300000000001EX;21/07/2021;2;0.067;R
ES0031300000000001EX;21/07/2021;3;0.066;R
ES0031300000000001EX;21/07/2021;4;0.071;R
ES0031300000000001EX;21/07/2021;5;0.064;R
ES0031300000000001EX;21/07/2021;6;0.068;R
ES0031300000000001EX;21/07/2021;7;0.073;R
ES0031300000000001EX;21/07/2021;8;0.069;R
ES0031300000000001EX;21/07/2021;9;0.127;R
ES0031300000000001EX;21/07/2021;10;0.264;R
ES0031300000000001EX;21/07/2021;11;0.185;R
ES0031300000000001EX;21/07/2021;12;0.114;R
ES0031300000000001EX;21/07/2021;13;0.1;R
ES0031300000000001EX;21/07/2021;14;0.178;R
ES0031300000000001EX;21/07/2021;15;1.108;R
ES0031300000000001EX;21/07/2021;16;0.32;R
ES0031300000000001EX;21/07/2021;17;0.279;R
ES0031300000000001EX;21/07/2021;18;0.163;R
ES0031300000000001EX;21/07/2021;19;0.213;R
ES0031300000000001EX;21/07/2021;20;0.344;R
ES0031300000000001EX;21/07/2021;21;0.318;R
ES0031300000000001EX;21/07/2021;22;0.183;R
ES0031300000000001EX;21/07/2021;23;0.433;R
ES0031300000000001EX;21/07/2021;24;0.315;R
ES0031300000000001EX;22/07/2021;1;0.082;R
ES0031300000000001EX;22/07/2021;2;0.075;R
ES0031300000000001EX;22/07/2021;3;0.079;R
ES0031300000000001EX;22/07/2021;4;0.071;R
ES0031300000000001EX;22/07/2021;5;0.067;R
ES0031300000000001EX;22/07/2021;6;0.068;R
ES0031300000000001EX;22/07/2021;7;0.077;R
ES0031300000000001EX;22/07/2021;8;0.067;R
ES0031300000000001EX;22/07/2021;9;0.185;R
ES0031300000000001EX;22/07/2021;10;0.186;R
ES0031300000000001EX;22/07/2021;11;0.071;R
ES0031300000000001EX;22/07/2021;12;0.115;R
ES0031300000000001EX;22/07/2021;13;0.084;R
ES0031300000000001EX;22/07/2021;14;0.18;R
ES0031300000000001EX;22/07/2021;15;0.599;R
ES0031300000000001EX;22/07/2021;16;0.512;R
ES0031300000000001EX;22/07/2021;17;0.519;R
ES0031300000000001EX;22/07/2021;18;0.45;R
ES0031300000000001EX;22/07/2021;19;0.4;R
ES0031300000000001EX;22/07/2021;20;0.359;R
ES0031300000000001EX;22/07/2021;21;0.298;R
ES0031300000000001EX;22/07/2021;22;0.411;R
ES0031300000000001EX;22/07/2021;23;0.42;R
ES0031300000000001EX;22/07/2021;24;0.198;R
ES0031300000000001EX;23/07/2021;1;0.081;R
ES0031300000000001EX;23/07/2021;2;0.077;R
ES0031300000000001EX;23/07/2021;3;0.078;R
ES0031300000000001EX;23/07/2021;4;0.065;R
