id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;105.39;2021-06-07T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;108.41;2021-06-07T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.14;2021-06-07T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;150.58;2021-06-07T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;144.71;2021-06-07T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;233.94;2021-06-07T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;232.68;2021-06-07T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.98;2021-06-07T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.5;2021-06-07T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.06;2021-06-07T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;135.54;2021-06-07T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;135.4;2021-06-07T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.85;2021-06-07T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.73;2021-06-07T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;242.12;2021-06-07T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;244.94;2021-06-07T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;242.73;2021-06-07T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;149.52;2021-06-07T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;146.58;2021-06-07T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.73;2021-06-08T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;105.5;2021-06-08T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;105.46;2021-06-08T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.38;2021-06-08T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.29;2021-06-08T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.21;2021-06-08T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;110.79;2021-06-08T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.41;2021-06-08T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;154.42;2021-06-08T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;143.89;2021-06-08T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.49;2021-06-08T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.64;2021-06-08T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.79;2021-06-08T12:00:00+02:00
